caseId,n,slice,intent,case,semanticQueryIsFallback,semanticQuery,verdict,expectedReask,outcome,causeAxes,blockingAxes,expansionReason,latencyMs
buy-under-0001,0,constraint_budget_set,recommend,2,True,5만원 이내로 아무거나 세트로 추천해줘,True,True,hit,,,,4602
buy-under-0001,1,constraint_budget_set,recommend,2,True,5만원 이내로 아무거나 세트로 추천해줘,True,True,hit,,,,3141
buy-under-0001,2,constraint_budget_set,recommend,2,True,5만원 이내로 아무거나 세트로 추천해줘,True,True,hit,,,,2695
buy-under-0001,3,constraint_budget_set,recommend,2,False,5만원 이내로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2790
buy-under-0001,4,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로 추천해줘,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,3118
buy-under-0001,5,constraint_budget_set,recommend,2,True,5만원 이내로 아무거나 세트로 추천해줘,True,True,hit,,,,2998
buy-under-0001,6,constraint_budget_set,recommend,2,True,5만원 이내로 아무거나 세트로 추천해줘,True,True,hit,,,,46583
buy-under-0001,7,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2690
buy-under-0002,0,no_condition,recommend,3,True,아무거나 추천해줘,True,True,hit,,,no_legs,4436
buy-under-0002,1,no_condition,recommend,3,True,아무거나 추천해줘,True,True,hit,,,no_legs,2723
buy-under-0002,2,no_condition,recommend,3,True,아무거나 추천해줘,True,True,hit,,,no_legs,2504
buy-under-0002,3,no_condition,recommend,3,True,아무거나 추천해줘,True,True,hit,,,no_legs,3731
buy-under-0002,4,no_condition,recommend,2,True,아무거나 추천해줘,True,True,hit,,,,2522
buy-under-0002,5,no_condition,recommend,3,True,아무거나 추천해줘,True,True,hit,,,no_legs,44260
buy-under-0002,6,no_condition,recommend,3,True,아무거나 추천해줘,True,True,hit,,,no_legs,5061
buy-under-0002,7,no_condition,recommend,3,True,아무거나 추천해줘,True,True,hit,,,no_legs,3108
buy-under-0003,0,constraint_price,recommend,2,True,5만원 이하로 아무거나 추천해줘,True,True,hit,,,,3827
buy-under-0003,1,constraint_price,recommend,2,True,5만원 이하로 아무거나 추천해줘,True,True,hit,,,,2658
buy-under-0003,2,constraint_price,recommend,2,True,5만원 이하로 아무거나 추천해줘,True,True,hit,,,,4065
buy-under-0003,3,constraint_price,recommend,2,True,5만원 이하로 아무거나 추천해줘,True,True,hit,,,,2833
buy-under-0003,4,constraint_price,recommend,2,False,무엇이든 5만원 이하,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2802
buy-under-0003,5,constraint_price,recommend,2,True,5만원 이하로 아무거나 추천해줘,True,True,hit,,,,44597
buy-under-0003,6,constraint_price,recommend,2,True,5만원 이하로 아무거나 추천해줘,True,True,hit,,,,4453
buy-under-0003,7,constraint_price,recommend,2,True,5만원 이하로 아무거나 추천해줘,True,True,hit,,,,3075
buy-under-0004,0,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,no_legs,4184
buy-under-0004,1,what_axis,recommend,1,True,무선 이어폰,True,False,falseAlarm,categoryQueries,,,2989
buy-under-0004,2,what_axis,recommend,1,True,무선 이어폰,True,False,falseAlarm,categoryQueries,,,3300
buy-under-0004,3,what_axis,recommend,1,False,무선 이어폰,False,False,correctReject,,,,2700
buy-under-0004,4,what_axis,recommend,1,True,무선 이어폰,True,False,falseAlarm,categoryQueries,,,2673
buy-under-0004,5,what_axis,recommend,3,True,무선 이어폰,True,False,falseAlarm,categoryQueries,,no_legs,45008
buy-under-0004,6,what_axis,recommend,1,True,무선 이어폰,False,False,correctReject,,,,4948
buy-under-0004,7,what_axis,recommend,1,True,무선 이어폰,True,False,falseAlarm,categoryQueries,,,3675
buy-under-0005,0,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,3219
buy-under-0005,1,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,3061
buy-under-0005,2,what_axis,recommend,1,False,삼성 제품,False,False,correctReject,,,,3184
buy-under-0005,3,what_axis,recommend,1,False,삼성 제품,False,False,correctReject,,,,43648
buy-under-0005,4,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,4992
buy-under-0005,5,what_axis,recommend,2,True,삼성 제품 아무거나,False,False,correctReject,,,,3358
buy-under-0005,6,what_axis,recommend,1,False,삼성 제품,False,False,correctReject,,,,2737
buy-under-0005,7,what_axis,recommend,1,False,무선·유선 가전 포함 삼성 브랜드의 일반 상품,False,False,correctReject,,,,3374
buy-under-0006,0,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,2778
buy-under-0006,1,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,2679
buy-under-0006,2,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,3087
buy-under-0006,3,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,43949
buy-under-0006,4,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,5034
buy-under-0006,5,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,3599
buy-under-0006,6,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,2724
buy-under-0006,7,multiturn_gate,recommend,2,True,그중에 5만원 이하,False,False,correctReject,,,,3638
buy-under-0007,0,blocking_rating,recommend,2,True,평점 4 이상 아무거나,False,False,correctReject,,,,3002
buy-under-0007,1,blocking_rating,recommend,2,True,평점 4 이상 아무거나,False,False,correctReject,,,,2480
buy-under-0007,2,blocking_rating,recommend,2,True,평점 4 이상 아무거나,False,False,correctReject,,,,2754
buy-under-0007,3,blocking_rating,recommend,2,False,평점 4 이상,False,False,correctReject,,,,44185
buy-under-0007,4,blocking_rating,recommend,2,False,평점이 높은 무언가,False,False,correctReject,,,,4507
buy-under-0007,5,blocking_rating,recommend,2,False,평점 4 이상,False,False,correctReject,,,,3276
buy-under-0007,6,blocking_rating,recommend,2,False,무엇을 살지,False,False,correctReject,,,,2722
buy-under-0007,7,blocking_rating,recommend,2,True,평점 4 이상 아무거나,False,False,correctReject,,,,3128
under-br-0001,0,blocking_rating,recommend,2,True,별점 4.5 이상인 거 아무거나 보여줘,False,False,correctReject,,,,2854
under-br-0001,1,blocking_rating,recommend,2,True,별점 4.5 이상인 거 아무거나 보여줘,False,False,correctReject,,,,3908
under-br-0001,2,blocking_rating,recommend,2,True,별점 4.5 이상인 거 아무거나 보여줘,False,False,correctReject,,,,43905
under-br-0001,3,blocking_rating,recommend,2,False,별점 4.5 이상인 것,False,False,correctReject,,,,5439
under-br-0001,4,blocking_rating,recommend,2,True,별점 4.5 이상인 거 아무거나 보여줘,False,False,correctReject,,,,3060
under-br-0001,5,blocking_rating,recommend,2,True,별점 4.5 이상인 거 아무거나 보여줘,False,False,correctReject,,,,2475
under-br-0001,6,blocking_rating,recommend,2,False,별점 4.5 이상인 거,False,False,correctReject,,,,3970
under-br-0001,7,blocking_rating,recommend,2,False,별점 4.5 이상인 상품,False,False,correctReject,,,,2646
under-br-0002,0,blocking_rating,recommend,2,False,평점 높은 상품,False,False,correctReject,,,,2579
under-br-0002,1,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,43987
under-br-0002,2,blocking_rating,recommend,2,False,평점 4점대 이상,False,False,correctReject,,,,4787
under-br-0002,3,blocking_rating,recommend,2,False,평점이 4점대 이상인 상품,False,False,correctReject,,,,3792
under-br-0002,4,blocking_rating,recommend,2,False,평점이 4점대 이상인 상품,False,False,correctReject,,,,2604
under-br-0002,5,blocking_rating,recommend,2,True,평점 4점대 이상으로만 보여줘,False,False,correctReject,,,,3785
under-br-0002,6,blocking_rating,recommend,2,False,"무게감 있는 고평가 상품, 높은 평점의 상품",False,False,correctReject,,,,44013
under-br-0002,7,blocking_rating,recommend,2,True,평점 4점대 이상으로만 보여줘,False,False,correctReject,,,,5910
under-br-0003,0,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,44926
under-br-0003,1,blocking_rating,recommend,2,True,리뷰 평점 4 넘는 것만 아무거나,False,False,correctReject,,,,5622
under-br-0003,2,blocking_rating,recommend,2,False,평점 4 이상,False,False,correctReject,,,,3547
under-br-0003,3,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2544
under-br-0003,4,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 것만 아무거나,False,False,correctReject,,,,3096
under-br-0003,5,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2694
