caseId,n,slice,intent,case,semanticQueryIsFallback,semanticQuery,verdict,expectedReask,outcome,causeAxes,blockingAxes,expansionReason,latencyMs
buy-under-0001,0,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,5001
buy-under-0001,1,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2221
buy-under-0001,2,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2145
buy-under-0001,3,constraint_budget_set,recommend,2,False,5만원 이내로 세트 구성 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2563
buy-under-0001,4,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2280
buy-under-0001,5,constraint_budget_set,recommend,2,False,5만원 이내 아무거나 세트로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2177
buy-under-0001,6,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2104
buy-under-0001,7,constraint_budget_set,recommend,2,False,5만원 이내로 세트로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2048
buy-under-0002,0,no_condition,recommend,2,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,4142
buy-under-0002,1,no_condition,recommend,2,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2182
buy-under-0002,2,no_condition,recommend,3,False,무엇을 살지 말을 하지 않았을 때의 일반 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2245
buy-under-0002,3,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2035
buy-under-0002,4,no_condition,recommend,2,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2121
buy-under-0002,5,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2097
buy-under-0002,6,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,1892
buy-under-0002,7,no_condition,recommend,2,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1807
buy-under-0003,0,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,4263
buy-under-0003,1,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,multiple,filters.attrConditions;semanticQueryIsFallback,,2332
buy-under-0003,2,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2056
buy-under-0003,3,constraint_price,recommend,2,False,무조건 다섯만원 이하의 상품 중 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2210
buy-under-0003,4,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2626
buy-under-0003,5,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2013
buy-under-0003,6,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2241
buy-under-0003,7,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2170
buy-under-0004,0,what_axis,recommend,3,False,이어폰,False,False,correctReject,,,no_legs,4099
buy-under-0004,1,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,no_legs,10942
buy-under-0004,2,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2120
buy-under-0004,3,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,,1981
buy-under-0004,4,what_axis,recommend,2,False,이어폰,False,False,correctReject,,,,2414
buy-under-0004,5,what_axis,recommend,3,False,이어폰,False,False,correctReject,,,no_legs,1939
buy-under-0004,6,what_axis,recommend,3,False,이어폰,False,False,correctReject,,,,2100
buy-under-0004,7,what_axis,recommend,3,False,이어폰,False,False,correctReject,,,no_legs,2002
buy-under-0005,0,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2135
buy-under-0005,1,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2309
buy-under-0005,2,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,1932
buy-under-0005,3,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2822
buy-under-0005,4,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,33863
buy-under-0005,5,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,4668
buy-under-0005,6,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2622
buy-under-0005,7,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2991
buy-under-0006,0,multiturn_gate,recommend,2,False,다음 다섯 가지 중에서 예산 5만원 이하의 상품,False,False,correctReject,,,,2464
buy-under-0006,1,multiturn_gate,recommend,2,False,5만원 이하 제품,False,False,correctReject,,,,1973
buy-under-0006,2,multiturn_gate,recommend,2,False,5만원 이하 아무거나,False,False,correctReject,,,,2109
buy-under-0006,3,multiturn_gate,recommend,2,False,5만원 이하,False,False,correctReject,,,,3475
buy-under-0006,4,multiturn_gate,recommend,2,False,5만원 이하의 상품,False,False,correctReject,,,,32393
buy-under-0006,5,multiturn_gate,recommend,2,False,5만원 이하 아무거나,False,False,correctReject,,,,4285
buy-under-0006,6,multiturn_gate,recommend,2,False,5만원 이하,False,False,correctReject,,,,2167
buy-under-0006,7,multiturn_gate,recommend,2,False,다음 중에서 5만원 이하의 상품,False,False,correctReject,,,,2191
buy-under-0007,0,blocking_rating,recommend,2,False,평점이 높은 아무 상품,False,False,correctReject,,,,2426
buy-under-0007,1,blocking_rating,recommend,2,False,평점이 높은 상품 중 아무거나,False,False,correctReject,,,,2053
buy-under-0007,2,blocking_rating,recommend,2,False,평점 4 이상 아무거나,False,False,correctReject,,,,2027
buy-under-0007,3,blocking_rating,recommend,2,False,평점 4 이상 아무거나,False,False,correctReject,,,,2601
buy-under-0007,4,blocking_rating,recommend,2,False,평점 4 이상 아무거나,False,False,correctReject,,,,33107
buy-under-0007,5,blocking_rating,recommend,2,False,평점 4 이상 아무거나,False,False,correctReject,,,,4203
buy-under-0007,6,blocking_rating,recommend,2,False,평점 4 이상 무관하게 아무거나,False,False,correctReject,,,,2473
buy-under-0007,7,blocking_rating,recommend,2,False,평점 4 이상 아무거나,False,False,correctReject,,,,3121
under-br-0001,0,blocking_rating,recommend,2,False,별점 4.5 이상인 상품,False,False,correctReject,,,,2084
under-br-0001,1,blocking_rating,recommend,2,False,별점 4.5 이상 상품,False,False,correctReject,,,,32322
under-br-0001,2,blocking_rating,recommend,2,False,별점이 4.5 이상인 상품,False,False,correctReject,,,,7586
under-br-0001,3,blocking_rating,recommend,2,False,별점 4.5 이상 상품,False,False,correctReject,,,,8143
under-br-0001,4,blocking_rating,recommend,2,False,별점이 4.5 이상인 상품,False,False,correctReject,,,,2443
under-br-0001,5,blocking_rating,recommend,2,False,별점 높은 상품,False,False,correctReject,,,,2104
under-br-0001,6,blocking_rating,recommend,2,False,4.5 stars or higher,False,False,correctReject,,,,2355
under-br-0001,7,blocking_rating,recommend,2,False,별점 4.5 이상인 상품,False,False,correctReject,,,,6076
under-br-0002,0,blocking_rating,recommend,2,False,평점이 높은 가전/잡화 품목,False,False,correctReject,,,,3769
under-br-0002,1,blocking_rating,recommend,2,False,평점 4점대 이상인 상품,False,False,correctReject,,,,2251
under-br-0002,2,blocking_rating,recommend,2,False,평점 4점대 이상인 상품,False,False,correctReject,,,,2430
under-br-0002,3,blocking_rating,recommend,2,False,평점 4점대 이상 상품,False,False,correctReject,,,,2190
under-br-0002,4,blocking_rating,recommend,2,False,평점 4점대 이상 상품,False,False,correctReject,,,,3462
under-br-0002,5,blocking_rating,recommend,2,False,평점 4점대 이상 상품,False,False,correctReject,,,,2079
under-br-0002,6,blocking_rating,recommend,2,False,평점 4점대 이상 상품,False,False,correctReject,,,,2310
