caseId,testType,pairId,arm,sampleIndex,latencyMs,rankedProductIds,displayedRationales,groundingDecisions,validatorDowngradeCount,outOfCandidateIdCount,duplicateIdCount,validRankCoverage,candidateCount,rawResponse
missing_rating,MFT,,current,0,4084,[102],"[""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는 조건에 검증된 이어폰이 가장 잘 맞아요.""}"
missing_rating,MFT,,current,1,2683,[102],"[""평점이 매우 높고 리뷰가 매우 많아요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는다면 102번이 가장 적합해요.""}"
missing_rating,MFT,,current,2,2695,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아요"", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 무선 이어폰으로는 102번이 가장 적합해요. 101번은 평가와 리뷰 정보가 없어 참고가 제한적이에요.""}"
missing_review,MFT,,current,0,2291,[112],"[""후기가 매우 많아 참고하기 좋은 텀블러예요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 참고하기 좋은 텀블러예요""}],""overallComment"":""후기가 많은 제품을 우선해 112번을 추천해요.""}"
missing_review,MFT,,current,1,2485,[112],"[""리뷰가 매우 많아 후기가 많은 조건에 잘 맞아요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""리뷰가 매우 많아 후기가 많은 조건에 잘 맞아요""}],""overallComment"":""후기가 많은 조건에 맞춰 리뷰가 매우 많은 상품을 우선 추천했어요.""}"
missing_review,MFT,,current,2,1949,[112],"[""후기가 매우 많아 비교와 선택에 유리해요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 비교와 선택에 유리해요""}],""overallComment"":""후기가 많은 조건에 가장 잘 맞는 상품을 우선 추천했어요.""}"
missing_price,MFT,,current,0,3036,"[121, 122, 123]","[""가격 정보가 없어 상대적으로 저렴한지 판단하기 어려워요."", ""가격 정보가 없어 상대적으로 저렴한지 판단하기 어려워요."", ""가격 정보가 없어 상대적으로 저렴한지 판단하기 어려워요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보가 없어 상대적으로 저렴한지 판단하기 어려워요.""},{""productId"":122,""rationale"":""가격 정보가 없어 상대적으로 저렴한지 판단하기 어려워요.""},{""productId"":123,""rationale"":""가격 정보가 없어 상대적으로 저렴한지 판단하기 어려워요.""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 순위를 판단하기 어렵습니다. 평점과 리뷰 정보는 모두 비슷합니다.""}"
missing_price,MFT,,current,1,2938,"[121, 122, 123]","[""가격 정보는 없지만 평점과 리뷰가 좋아요."", ""가격 정보는 없지만 평점과 리뷰가 좋아요."", ""가격 정보는 없지만 평점과 리뷰가 좋아요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요.""},{""productId"":122,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요.""},{""productId"":123,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요.""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 상품을 구분하기 어렵습니다. 가격을 확인해 비교해 보세요.""}"
missing_price,MFT,,current,2,2850,"[121, 122, 123]","[""가격 정보가 없어 저렴한지 비교하기 어려워요"", ""가격 정보가 없어 저렴한지 비교하기 어려워요"", ""가격 정보가 없어 저렴한지 비교하기 어려워요""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보가 없어 저렴한지 비교하기 어려워요""},{""productId"":122,""rationale"":""가격 정보가 없어 저렴한지 비교하기 어려워요""},{""productId"":123,""rationale"":""가격 정보가 없어 저렴한지 비교하기 어려워요""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 상품을 구분하기 어렵습니다. 화면의 가격을 확인해 비교해 보세요.""}"
rating_boundary,MFT,,current,0,2607,"[133, 132, 131]","[""평점이 가장 높고 리뷰도 많아 믿음직해요."", ""평점이 높고 리뷰가 많아 추천해요."", ""평점과 리뷰가 보통 수준이에요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":133,""rationale"":""평점이 가장 높고 리뷰도 많아 믿음직해요.""},{""productId"":132,""rationale"":""평점이 높고 리뷰가 많아 추천해요.""},{""productId"":131,""rationale"":""평점과 리뷰가 보통 수준이에요.""}],""overallComment"":""평점이 높은 순으로 정렬했어요. 133번과 132번은 리뷰도 많아 참고하기 좋습니다.""}"
rating_boundary,MFT,,current,1,1636,"[133, 132, 131]","[""평점이 가장 높고 리뷰도 매우 많아요"", ""평점이 높고 리뷰가 많아요"", ""평점과 리뷰가 보통 수준이에요""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":133,""rationale"":""평점이 가장 높고 리뷰도 매우 많아요""},{""productId"":132,""rationale"":""평점이 높고 리뷰가 많아요""},{""productId"":131,""rationale"":""평점과 리뷰가 보통 수준이에요""}],""overallComment"":""평점을 우선해 정렬했으며, 리뷰가 많은 상품을 함께 고려했습니다.""}"
rating_boundary,MFT,,current,2,2968,"[133, 132, 131]","[""평점이 매우 높아 가장 우선 추천해요."", ""평점이 높고 리뷰가 많아 신뢰할 만해요."", ""평점과 리뷰가 보통 수준인 무난한 선택이에요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":133,""rationale"":""평점이 매우 높아 가장 우선 추천해요.""},{""productId"":132,""rationale"":""평점이 높고 리뷰가 많아 신뢰할 만해요.""},{""productId"":131,""rationale"":""평점과 리뷰가 보통 수준인 무난한 선택이에요.""}],""overallComment"":""평점이 높은 순서로 정렬했어요. 리뷰가 많은 상품을 우선 고려하면 선택에 도움이 됩니다.""}"
price_boundary,MFT,,current,0,2902,"[141, 142, 143, 144, 145]","[""매우 저렴하면서 평점과 리뷰가 좋아요."", ""매우 저렴하고 평점과 리뷰가 많아 좋아요."", ""가격은 보통이지만 평점과 리뷰가 좋아요."", ""가격은 비싸지만 평점과 리뷰가 좋아요."", ""가격이 매우 비싸지만 평점과 리뷰가 좋아요.""]",[],0,0,0,1.0,5,"{""ranked"":[{""productId"":141,""rationale"":""매우 저렴하면서 평점과 리뷰가 좋아요.""},{""productId"":142,""rationale"":""매우 저렴하고 평점과 리뷰가 많아 좋아요.""},{""productId"":143,""rationale"":""가격은 보통이지만 평점과 리뷰가 좋아요.""},{""productId"":144,""rationale"":""가격은 비싸지만 평점과 리뷰가 좋아요.""},{""productId"":145,""rationale"":""가격이 매우 비싸지만 평점과 리뷰가 좋아요.""}],""overallComment"":""가격을 우선 비교하면 매우 저렴한 매트 A와 B가 가장 적합해요. 모든 후보의 평점과 리뷰 수준은 동일해 가격 차이를 중심으로 정렬했어요.""}"
price_boundary,MFT,,current,1,3043,"[141, 142, 143, 144, 145]","[""매우 저렴하면서 평점과 리뷰가 좋아요"", ""매우 저렴하면서 평점과 리뷰가 좋아요"", ""가격이 보통이고 평점과 리뷰가 좋아요"", ""가격이 비싸지만 평점과 리뷰가 좋아요"", ""가격이 매우 비싸지만 평점과 리뷰가 좋아요""]",[],0,0,0,1.0,5,"{""ranked"":[{""productId"":141,""rationale"":""매우 저렴하면서 평점과 리뷰가 좋아요""},{""productId"":142,""rationale"":""매우 저렴하면서 평점과 리뷰가 좋아요""},{""productId"":143,""rationale"":""가격이 보통이고 평점과 리뷰가 좋아요""},{""productId"":144,""rationale"":""가격이 비싸지만 평점과 리뷰가 좋아요""},{""productId"":145,""rationale"":""가격이 매우 비싸지만 평점과 리뷰가 좋아요""}],""overallComment"":""가격을 우선 비교하면 매트 A와 매트 B가 가장 적합해요. 모든 후보가 평점과 리뷰 수준은 동일합니다.""}"
price_boundary,MFT,,current,2,3221,"[141, 142, 143, 144, 145]","[""매우 저렴하면서 평점과 리뷰가 높고 많아요."", ""매우 저렴하면서 평점과 리뷰가 높고 많아요."", ""가격은 보통이지만 평점과 리뷰가 높고 많아요."", ""가격은 비싸지만 평점과 리뷰가 높고 많아요."", ""가격이 매우 비싸지만 평점과 리뷰가 높고 많아요.""]",[],0,0,0,1.0,5,"{""ranked"":[{""productId"":141,""rationale"":""매우 저렴하면서 평점과 리뷰가 높고 많아요.""},{""productId"":142,""rationale"":""매우 저렴하면서 평점과 리뷰가 높고 많아요.""},{""productId"":143,""rationale"":""가격은 보통이지만 평점과 리뷰가 높고 많아요.""},{""productId"":144,""rationale"":""가격은 비싸지만 평점과 리뷰가 높고 많아요.""},{""productId"":145,""rationale"":""가격이 매우 비싸지만 평점과 리뷰가 높고 많아요.""}],""overallComment"":""가격을 우선 비교하면 매트 A와 B가 가장 적합해요. 두 상품 모두 평점과 리뷰도 높고 많아 우선 추천합니다.""}"
