cellId,utteranceId,contextId,group,sampleCount,attempts,failureCount,filled
cart-control-001|lastRecommendations,cart-control-001,lastRecommendations,cart_control,8,8,0,True
cart-control-001|none,cart-control-001,none,cart_control,8,8,0,True
cart-control-001|pendingCart,cart-control-001,pendingCart,cart_control,8,8,0,True
cart-control-002|lastRecommendations,cart-control-002,lastRecommendations,cart_control,8,8,0,True
cart-control-002|none,cart-control-002,none,cart_control,8,8,0,True
cart-control-002|pendingCart,cart-control-002,pendingCart,cart_control,8,8,0,True
cart-control-003|lastRecommendations,cart-control-003,lastRecommendations,cart_control,8,8,0,True
cart-control-003|none,cart-control-003,none,cart_control,8,8,0,True
cart-control-003|pendingCart,cart-control-003,pendingCart,cart_control,8,8,0,True
cart-control-004|lastRecommendations,cart-control-004,lastRecommendations,cart_control,8,8,0,True
cart-control-004|none,cart-control-004,none,cart_control,8,8,0,True
cart-control-004|pendingCart,cart-control-004,pendingCart,cart_control,8,8,0,True
cart-control-005|lastRecommendations,cart-control-005,lastRecommendations,cart_control,8,8,0,True
cart-control-005|none,cart-control-005,none,cart_control,8,8,0,True
cart-control-005|pendingCart,cart-control-005,pendingCart,cart_control,8,8,0,True
cart-control-006|lastRecommendations,cart-control-006,lastRecommendations,cart_control,8,8,0,True
cart-control-006|none,cart-control-006,none,cart_control,8,8,0,True
cart-control-006|pendingCart,cart-control-006,pendingCart,cart_control,8,8,0,True
cart-quantity-001|none,cart-quantity-001,none,cart_quantity,8,8,0,True
cart-quantity-002|none,cart-quantity-002,none,cart_quantity,8,8,0,True
cart-quantity-003|none,cart-quantity-003,none,cart_quantity,8,8,0,True
cart-quantity-004|none,cart-quantity-004,none,cart_quantity,8,8,0,True
cart-quantity-005|none,cart-quantity-005,none,cart_quantity,8,8,0,True
cart-quantity-006|none,cart-quantity-006,none,cart_quantity,8,8,0,True
category-carry-001|categoryPrior,category-carry-001,categoryPrior,category_action,8,8,0,True
category-carry-002|categoryPrior,category-carry-002,categoryPrior,category_action,8,8,0,True
category-carry-003|categoryPrior,category-carry-003,categoryPrior,category_action,8,8,0,True
category-carry-004|categoryPrior,category-carry-004,categoryPrior,category_action,8,8,0,True
category-clear-001|categoryPrior,category-clear-001,categoryPrior,category_action,8,8,0,True
category-clear-002|categoryPrior,category-clear-002,categoryPrior,category_action,8,8,0,True
category-clear-003|categoryPrior,category-clear-003,categoryPrior,category_action,8,8,0,True
category-clear-004|categoryPrior,category-clear-004,categoryPrior,category_action,8,8,0,True
category-mixed-001|categoryPrior,category-mixed-001,categoryPrior,category_action,8,8,0,True
category-mixed-002|categoryPrior,category-mixed-002,categoryPrior,category_action,8,8,0,True
category-mixed-003|categoryPrior,category-mixed-003,categoryPrior,category_action,8,8,0,True
category-mixed-004|categoryPrior,category-mixed-004,categoryPrior,category_action,8,8,0,True
category-replace-001|categoryPrior,category-replace-001,categoryPrior,category_action,8,8,0,True
category-replace-002|categoryPrior,category-replace-002,categoryPrior,category_action,8,8,0,True
category-replace-003|categoryPrior,category-replace-003,categoryPrior,category_action,8,8,0,True
condition-only-001|none,condition-only-001,none,condition_only,8,8,0,True
condition-only-002|none,condition-only-002,none,condition_only,8,8,0,True
condition-only-003|none,condition-only-003,none,condition_only,8,8,0,True
condition-only-004|none,condition-only-004,none,condition_only,8,8,0,True
condition-only-005|none,condition-only-005,none,condition_only,8,8,0,True
demonstrative-001|lastRecommendations,demonstrative-001,lastRecommendations,demonstrative,8,8,0,True
demonstrative-001|none,demonstrative-001,none,demonstrative,8,8,0,True
demonstrative-001|pendingCart,demonstrative-001,pendingCart,demonstrative,8,8,0,True
demonstrative-002|lastRecommendations,demonstrative-002,lastRecommendations,demonstrative,8,8,0,True
demonstrative-002|none,demonstrative-002,none,demonstrative,8,8,0,True
demonstrative-002|pendingCart,demonstrative-002,pendingCart,demonstrative,8,8,0,True
demonstrative-003|lastRecommendations,demonstrative-003,lastRecommendations,demonstrative,8,8,0,True
demonstrative-003|none,demonstrative-003,none,demonstrative,8,8,0,True
demonstrative-003|pendingCart,demonstrative-003,pendingCart,demonstrative,8,8,0,True
demonstrative-004|lastRecommendations,demonstrative-004,lastRecommendations,demonstrative,8,8,0,True
demonstrative-004|none,demonstrative-004,none,demonstrative,8,8,0,True
demonstrative-004|pendingCart,demonstrative-004,pendingCart,demonstrative,8,8,0,True
general-001|lastRecommendations,general-001,lastRecommendations,general,8,8,0,True
general-001|none,general-001,none,general,8,8,0,True
general-001|pendingCart,general-001,pendingCart,general,8,8,0,True
general-002|lastRecommendations,general-002,lastRecommendations,general,8,8,0,True
general-002|none,general-002,none,general,8,8,0,True
general-002|pendingCart,general-002,pendingCart,general,8,8,0,True
named-category-001|none,named-category-001,none,named_category,8,8,0,True
named-category-002|none,named-category-002,none,named_category,8,8,0,True
named-category-003|none,named-category-003,none,named_category,8,8,0,True
named-category-004|none,named-category-004,none,named_category,8,8,0,True
named-category-005|none,named-category-005,none,named_category,8,8,0,True
named-category-006|none,named-category-006,none,named_category,8,8,0,True
option-answer-001|pendingCart,option-answer-001,pendingCart,option_answer,8,8,0,True
option-answer-002|pendingCart,option-answer-002,pendingCart,option_answer,8,8,0,True
option-answer-003|pendingCart,option-answer-003,pendingCart,option_answer,8,8,0,True
option-answer-004|pendingCart,option-answer-004,pendingCart,option_answer,8,8,0,True
order-status-001|lastRecommendations,order-status-001,lastRecommendations,order_status,8,8,0,True
order-status-001|none,order-status-001,none,order_status,8,8,0,True
order-status-001|pendingCart,order-status-001,pendingCart,order_status,8,8,0,True
order-status-002|lastRecommendations,order-status-002,lastRecommendations,order_status,8,8,0,True
order-status-002|none,order-status-002,none,order_status,8,8,0,True
order-status-002|pendingCart,order-status-002,pendingCart,order_status,8,8,0,True
screen-001|screenSingle,screen-001,screenSingle,screen,8,8,0,True
screen-002|screenTriple,screen-002,screenTriple,screen,8,8,0,True
screen-003|screenFive,screen-003,screenFive,screen,8,8,0,True
screen-004|screenNine,screen-004,screenNine,screen,8,8,0,True
screen-005|screenNamed,screen-005,screenNamed,screen,8,9,1,True
screen-006|screenTriple,screen-006,screenTriple,screen,8,9,1,True
switch-001|pendingCart,switch-001,pendingCart,switch,8,9,1,True
switch-002|pendingCart,switch-002,pendingCart,switch,8,10,2,True
switch-003|pendingCart,switch-003,pendingCart,switch,8,8,0,True
switch-004|pendingCart,switch-004,pendingCart,switch,8,10,2,True
switch-005|pendingCart,switch-005,pendingCart,switch,8,9,1,True
switch-006|pendingCart,switch-006,pendingCart,switch,8,8,0,True
switch-007|pendingCart,switch-007,pendingCart,switch,8,9,1,True
wishlist-remove-001|none,wishlist-remove-001,none,wishlist_remove,8,8,0,True
wishlist-remove-002|none,wishlist-remove-002,none,wishlist_remove,8,8,0,True
wishlist-remove-003|none,wishlist-remove-003,none,wishlist_remove,8,8,0,True
wishlist-remove-004|none,wishlist-remove-004,none,wishlist_remove,8,9,1,True
wishlist-view-001|none,wishlist-view-001,none,wishlist_view,8,9,1,True
wishlist-view-002|none,wishlist-view-002,none,wishlist_view,8,8,0,True
wishlist-view-003|none,wishlist-view-003,none,wishlist_view,8,8,0,True
wishlist-view-004|none,wishlist-view-004,none,wishlist_view,8,10,2,True
wishlist-view-005|none,wishlist-view-005,none,wishlist_view,8,8,0,True
wishlist-view-006|none,wishlist-view-006,none,wishlist_view,8,8,0,True
