caseId,n,slice,intent,case,semanticQueryIsFallback,semanticQuery,verdict,expectedReask,outcome,causeAxes,blockingAxes,expansionReason,latencyMs,unionVerdict,unionOutcome,unionMappedLegCount,unionCategoryExpanded,unionFiltersCategory,unionExpansionReason,unionBlockingAxes,unionStageLatencyMs,unionStageError
buy-under-0001,0,constraint_budget_set,recommend,2,False,5만원 이내로 세트 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,5877,False,miss,0,False,,,semanticQueryIsFallback,2526,
buy-under-0001,1,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로 추천해줘,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,4921,False,miss,1,False,스킨케어 > 스킨케어 세트,,categoryLegs;categoryQueries;filters.category;semanticQueryIsFallback,2376,
buy-under-0001,2,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2591,False,miss,0,False,,,semanticQueryIsFallback,452,
buy-under-0001,3,constraint_budget_set,recommend,2,False,5만원 이내로 세트 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1834,False,miss,0,False,,,semanticQueryIsFallback,2,
buy-under-0001,4,constraint_budget_set,recommend,2,False,5만원 이내로 세트 제품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3763,False,miss,0,False,,,semanticQueryIsFallback,689,
buy-under-0001,5,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2783,False,miss,0,False,,,semanticQueryIsFallback,714,
buy-under-0001,6,constraint_budget_set,recommend,3,False,5만원 이내로 아무거나 세트로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,7602,False,miss,1,False,수납정리용품 > 행거,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,4467,
buy-under-0001,7,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1767,False,miss,0,False,,,semanticQueryIsFallback,81,
buy-under-0002,0,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,7001,False,miss,2,False,청소용품 > 휴지통,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,4382,
buy-under-0002,1,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,5614,False,miss,1,False,수납정리용품 > 행거,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,3583,
buy-under-0002,2,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3824,False,miss,2,False,주방잡화 > 냄비/컵/수저받침,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,1675,
buy-under-0002,3,no_condition,recommend,3,False,무엇을 살지 아직 정하지 못했을 때의 상품 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,4556,False,miss,1,False,욕실용품 > 욕실수납,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,2463,
buy-under-0002,4,no_condition,recommend,3,False,일반적인 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,4153,False,miss,2,False,청소용품 > 휴지통,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,1677,
buy-under-0002,5,no_condition,recommend,2,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3457,False,miss,0,False,,,semanticQueryIsFallback,1060,
buy-under-0002,6,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3460,False,miss,8,True,,no_legs,categoryLegs;semanticQueryIsFallback,1752,
buy-under-0002,7,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,35417,False,miss,3,False,인테리어소품 > 액자,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,5885,
buy-under-0003,0,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2382,False,miss,0,False,,,semanticQueryIsFallback,17,
buy-under-0003,1,constraint_price,recommend,2,False,5만원 이하의 상품,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,4981,False,miss,8,True,,,categoryLegs;categoryQueries;semanticQueryIsFallback,2940,
buy-under-0003,2,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,5255,False,miss,0,False,,,semanticQueryIsFallback,3284,
buy-under-0003,3,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,multiple,filters.attrConditions;semanticQueryIsFallback,,3824,False,miss,0,False,,,filters.attrConditions;semanticQueryIsFallback,1519,
buy-under-0003,4,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,4556,False,miss,0,False,,,semanticQueryIsFallback,2032,
buy-under-0003,5,constraint_price,recommend,2,False,5만원 이하 무선 이어폰|가전|패션 등 범용 카테고리에서 예산 제약만 가진 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,5770,False,miss,0,False,,,semanticQueryIsFallback,2950,
buy-under-0003,6,constraint_price,recommend,2,False,"더 저렴한 이어폰, 스마트폰 액세서리, 의류 등 5만원 이하의 다양한 상품",False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3599,False,miss,0,False,,,semanticQueryIsFallback,1270,
buy-under-0003,7,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,32802,False,miss,0,False,,,semanticQueryIsFallback,30609,
buy-under-0004,0,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,no_legs,5106,False,correctReject,1,False,음향가전 > 이어폰,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,2610,
buy-under-0004,1,what_axis,recommend,3,False,이어폰,False,False,correctReject,,,,5283,False,correctReject,1,False,음향가전 > 이어폰,,categoryLegs;categoryQueries;filters.category;semanticQueryIsFallback,2374,
buy-under-0004,2,what_axis,recommend,2,False,이어폰,False,False,correctReject,,,,2846,False,correctReject,1,False,음향가전 > 이어폰,,categoryLegs;categoryQueries;filters.category;semanticQueryIsFallback,361,
buy-under-0004,3,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,no_legs,4980,False,correctReject,1,False,음향가전 > 이어폰,no_legs,categoryLegs;filters.category;semanticQueryIsFallback,3068,
