sessionId,sampleIndex,emittedDeltas,promoted,gateRejected,resolverDropped,legacySchemaNoKind,factDedupCollapsed,matched,missed,falsePositive,latencyMs
conflict-attribute,0,1,1,0,0,0,0,1,0,0,1729
conflict-attribute,1,1,1,0,0,0,0,1,0,0,1733
conflict-attribute,2,1,1,0,0,0,0,1,0,0,2151
conflict-attribute,3,1,1,0,0,0,0,1,0,0,1839
conflict-attribute,4,1,1,0,0,0,0,1,0,0,1766
conflict-brand,0,1,1,0,0,0,0,1,0,0,1791
conflict-brand,1,1,1,0,0,0,0,1,0,0,1893
conflict-brand,2,1,1,0,0,0,0,1,0,0,2278
conflict-brand,3,1,1,0,0,0,0,1,0,0,1628
conflict-brand,4,1,1,0,0,0,0,1,0,0,1835
conflict-category,0,1,1,0,1,0,0,0,1,0,1730
conflict-category,1,1,1,0,1,0,0,0,1,0,2454
conflict-category,2,1,1,0,1,0,0,0,1,0,2291
conflict-category,3,1,1,0,1,0,0,0,1,0,1651
conflict-category,4,1,1,0,1,0,0,0,1,0,1533
kc-attribute-01,0,2,2,0,0,0,0,1,0,1,4603
kc-attribute-01,1,2,2,0,0,0,0,1,0,1,4293
kc-attribute-01,2,3,3,0,0,0,0,1,0,2,2803
kc-attribute-01,3,2,2,0,0,0,0,1,0,1,4205
kc-attribute-01,4,2,2,0,0,0,0,1,0,1,3575
kc-attribute-02,0,3,3,0,0,0,0,1,1,2,3778
kc-attribute-02,1,3,2,1,0,0,0,1,1,1,3544
kc-attribute-02,2,3,3,0,0,0,0,1,1,2,2234
kc-attribute-02,3,3,3,0,0,0,0,1,1,2,4673
kc-attribute-02,4,3,3,0,0,0,0,1,1,2,3399
kc-brand-01,0,1,1,0,0,0,0,1,0,0,2624
kc-brand-01,1,1,1,0,0,0,0,1,0,0,1599
kc-brand-01,2,1,1,0,0,0,0,1,0,0,1735
kc-brand-01,3,1,1,0,0,0,0,1,0,0,1527
kc-brand-01,4,1,1,0,0,0,0,1,0,0,1621
kc-category-01,0,1,1,0,1,0,0,0,1,0,3211
kc-category-01,1,1,1,0,1,0,0,0,1,0,3978
kc-category-01,2,1,1,0,1,0,0,0,1,0,2746
kc-category-01,3,1,1,0,1,0,0,0,1,0,2620
kc-category-01,4,1,1,0,1,0,0,0,1,0,2218
kc-category-02,0,2,2,0,0,0,0,1,0,1,2751
kc-category-02,1,2,2,0,0,0,0,1,0,1,2723
kc-category-02,2,0,0,0,0,0,0,0,1,0,658
kc-category-02,3,2,2,0,0,0,0,1,0,1,3060
kc-category-02,4,2,2,0,0,0,0,1,0,1,2889
kc-priceBand-01,0,1,1,0,0,0,0,1,0,0,1754
kc-priceBand-01,1,1,1,0,0,0,0,1,0,0,1374
kc-priceBand-01,2,1,1,0,0,0,0,1,0,0,1753
kc-priceBand-01,3,1,1,0,0,0,0,1,0,0,1695
kc-priceBand-01,4,1,1,0,0,0,0,1,0,0,1635
kc-priceBand-02,0,4,4,0,0,0,0,1,0,3,3367
kc-priceBand-02,1,3,3,0,0,0,0,1,0,2,4064
kc-priceBand-02,2,4,4,0,0,0,0,1,0,3,4131
kc-priceBand-02,3,3,3,0,0,0,0,1,0,2,3200
kc-priceBand-02,4,4,4,0,0,0,0,1,0,3,2898
kc-product-01,0,1,1,0,0,0,0,1,0,0,1935
