caseId,n,slice,intent,case,semanticQueryIsFallback,semanticQuery,verdict,expectedReask,outcome,causeAxes,blockingAxes,expansionReason,latencyMs
buy-under-0001,0,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3141
buy-under-0001,1,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2358
buy-under-0001,2,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,5342
buy-under-0001,3,constraint_budget_set,recommend,2,False,5만원 이내로 세트 구성 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2276
buy-under-0001,4,constraint_budget_set,recommend,2,False,5만원 이내로 무난한 세트 구역,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2126
buy-under-0001,5,constraint_budget_set,recommend,2,False,5만원 이내로 세트로 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1966
buy-under-0001,6,constraint_budget_set,recommend,2,False,5만원 이내로 세트,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,2203
buy-under-0001,7,constraint_budget_set,recommend,2,False,5만원 이내로 세트 추천,False,True,miss,multiple,filters.attrConditions;semanticQueryIsFallback,,1884
buy-under-0002,0,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2857
buy-under-0002,1,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2195
buy-under-0002,2,no_condition,recommend,3,False,일반적인 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,1985
buy-under-0002,3,no_condition,recommend,3,False,무엇을 살지에 대한 일반적 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2246
buy-under-0002,4,no_condition,recommend,3,False,무엇을 살지 정하지 못했을 때의 일반적인 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2389
buy-under-0002,5,no_condition,recommend,3,False,무엇을 살지 추천해줘,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,2013
buy-under-0002,6,no_condition,recommend,2,False,무엇을 살지 결정하지 못한 상태에서 일반적인 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2061
