caseId,n,slice,intent,case,semanticQueryIsFallback,semanticQuery,verdict,expectedReask,outcome,causeAxes,blockingAxes,expansionReason,latencyMs
buy-under-0001,0,constraint_budget_set,recommend,2,False,5만원 이내 아무거나 세트로 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,4282
buy-under-0001,1,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2358
buy-under-0001,2,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2164
buy-under-0001,3,constraint_budget_set,recommend,2,False,5만원 이내 아무거나 세트로 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2073
buy-under-0001,4,constraint_budget_set,recommend,2,False,다양한 세트 아이템 5만원 이내,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2175
buy-under-0001,5,constraint_budget_set,recommend,2,False,다양한 세트 구성 추천,False,True,miss,multiple,categoryQueries;filters.attrConditions;semanticQueryIsFallback,,2216
buy-under-0001,6,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2627
buy-under-0001,7,constraint_budget_set,recommend,2,False,5만원 이하 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2393
buy-under-0002,0,no_condition,recommend,3,False,무엇을 살지 모르지만 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3330
buy-under-0002,1,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,1944
buy-under-0002,2,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2378
buy-under-0002,3,no_condition,recommend,3,False,일반적인 상품 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,1991
buy-under-0002,4,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,1824
buy-under-0002,5,no_condition,recommend,3,False,무엇을 추천해줄지 구체적으로 지시가 없으므로 일반적인 상품 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2147
buy-under-0002,6,no_condition,recommend,3,False,무엇을 살지 정해주지 않는 일반적인 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2572
buy-under-0002,7,no_condition,recommend,3,False,무엇을 살지 알아보고 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2427
buy-under-0003,0,constraint_price,recommend,2,False,무조건 가격 제한이 있는 일반 상품 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3153
buy-under-0003,1,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2747
buy-under-0003,2,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,2267
buy-under-0003,3,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2325
buy-under-0003,4,constraint_price,recommend,2,False,무엇을 살지 정하지 못했을 때의 일반적 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2206
buy-under-0003,5,constraint_price,recommend,2,False,5만원 이하 아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2357
buy-under-0003,6,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1767
buy-under-0003,7,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2307
buy-under-0004,0,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,no_legs,3396
buy-under-0004,1,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,no_legs,2022
buy-under-0004,2,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,,2447
buy-under-0004,3,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,1952
buy-under-0004,4,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2097
buy-under-0004,5,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2659
buy-under-0004,6,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,no_legs,2602
buy-under-0004,7,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,1989
buy-under-0005,0,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,3106
buy-under-0005,1,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2231
buy-under-0005,2,what_axis,recommend,3,False,삼성 제품,False,False,correctReject,,,,2583
buy-under-0005,3,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,35798
buy-under-0005,4,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,3652
buy-under-0005,5,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2327
buy-under-0005,6,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2397
buy-under-0005,7,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2999
buy-under-0006,0,multiturn_gate,recommend,2,False,과도한 제약 없이 5만원 이하의 상품,False,False,correctReject,,,,2290
buy-under-0006,1,multiturn_gate,recommend,2,False,무엇을 살지 구체적으로 정하지 못하고 가격 조건만 제시,False,False,correctReject,,,,2299
buy-under-0006,2,multiturn_gate,recommend,2,False,5만원 이하의 상품,False,False,correctReject,,,,2042
buy-under-0006,3,multiturn_gate,recommend,2,False,5만원 이하 아무거나,False,False,correctReject,,,,2154
buy-under-0006,4,multiturn_gate,recommend,2,False,다음 중에서 5만원 이하 가격대의 상품,False,False,correctReject,,,,34373
buy-under-0006,5,multiturn_gate,recommend,2,False,5만원 이하,False,False,correctReject,,,,3701
buy-under-0006,6,multiturn_gate,recommend,2,False,다음에 살 물건 중 5만원 이하,False,False,correctReject,,,,2334
buy-under-0006,7,multiturn_gate,recommend,2,False,5만원 이하 무난한 상품,False,False,correctReject,,,,2740
buy-under-0007,0,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2203
buy-under-0007,1,blocking_rating,recommend,2,False,평점 높은 상품,False,False,correctReject,,,,2143
buy-under-0007,2,blocking_rating,recommend,2,False,평점 4 이상 아무거나,False,False,correctReject,,,,2405
buy-under-0007,3,blocking_rating,recommend,2,False,평점 4 이상,False,False,correctReject,,,,35729
buy-under-0007,4,blocking_rating,recommend,2,False,평점 높은 가전 상품,False,False,correctReject,,,,4134
buy-under-0007,5,blocking_rating,recommend,2,False,평점이 4 이상인 상품,False,False,correctReject,,,,2376
buy-under-0007,6,blocking_rating,recommend,2,False,평점이 4 이상인 상품,False,False,correctReject,,,,2519
buy-under-0007,7,blocking_rating,recommend,2,False,평점이 높은 무언가,False,False,correctReject,,,,2321
under-br-0001,0,blocking_rating,recommend,2,False,별점이 높은 무언가,False,False,correctReject,,,,2563
under-br-0001,1,blocking_rating,recommend,2,False,평점 4.5 이상 상품,False,False,correctReject,,,,2758
under-br-0001,2,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2179
under-br-0001,3,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,35174
under-br-0001,4,blocking_rating,recommend,2,False,별점이 높은 상품,False,False,correctReject,,,,3990
under-br-0001,5,blocking_rating,recommend,2,False,별점 4.5 이상인 거,False,False,correctReject,,,,2624
under-br-0001,6,blocking_rating,recommend,2,False,평점 4.5 이상 상품,False,False,correctReject,,,,2250
under-br-0001,7,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2185
under-br-0002,0,blocking_rating,recommend,2,False,평점 4점대 이상인 상품,False,False,correctReject,,,,2134
under-br-0002,1,blocking_rating,recommend,2,False,평점 4점대 이상으로 높은 음향가전 상품,False,False,correctReject,,,,2732
under-br-0002,2,blocking_rating,recommend,2,False,평점 4점대 이상 상품,False,False,correctReject,,,,2775
under-br-0002,3,blocking_rating,recommend,2,False,평점 4점대 이상으로 보여줘,False,False,correctReject,,,,2594
under-br-0002,4,blocking_rating,recommend,2,False,평점 4점대 이상,False,False,correctReject,,,,2501
under-br-0002,5,blocking_rating,recommend,2,False,상품의 평균 평점이 4점대 이상인 가전,False,False,correctReject,,,,2215
under-br-0002,6,blocking_rating,recommend,2,False,평점 4점대 이상,False,False,correctReject,,,,2277
under-br-0002,7,blocking_rating,recommend,2,False,평점 4점대 이상 상품,False,False,correctReject,,,,2780
under-br-0003,0,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2540
under-br-0003,1,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2472
under-br-0003,2,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2718
under-br-0003,3,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2463
under-br-0003,4,blocking_rating,recommend,2,False,리뷰 평점 4 이상인 상품,False,False,correctReject,,,,2491
under-br-0003,5,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 무선 이어폰,False,False,correctReject,,,,2677
under-br-0003,6,blocking_rating,recommend,2,False,리뷰 평점이 4 이상인 상품,False,False,correctReject,,,,2330
under-br-0003,7,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,31591
under-br-0004,0,blocking_rating,recommend,2,False,평점이 3.5 이상인 상품,False,False,correctReject,,,,5533
under-br-0004,1,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2448
under-br-0004,2,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2658
under-br-0004,3,blocking_rating,recommend,2,False,평점 3.5 이상 추천,False,False,correctReject,,,,2276
under-br-0004,4,blocking_rating,recommend,2,False,평점 3.5 이상인 상품,False,False,correctReject,,,,3295
under-br-0004,5,blocking_rating,recommend,2,False,평점 3.5 이상이면 뭐든 좋아,False,False,correctReject,,,,32713
under-br-0004,6,blocking_rating,recommend,2,False,평점이 높은 제품,False,False,correctReject,,,,4082
under-br-0004,7,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2691
under-cbs-0001,0,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어 10만원 이내,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3394
under-cbs-0001,1,constraint_budget_set,recommend,3,False,전부 챙겨,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2379
under-cbs-0001,2,constraint_budget_set,recommend,2,False,총예산=100000원 이내에서 모든 물건을 한꺼번에 구매할 수 있도록 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2924
under-cbs-0001,3,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2525
under-cbs-0001,4,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2388
under-cbs-0001,5,constraint_budget_set,recommend,2,False,전부 구매 예산 10만원 이내의 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2508
under-cbs-0001,6,constraint_budget_set,recommend,2,False,사고 싶은 모든 물건을 예산 내로 맞춰 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,33027
under-cbs-0001,7,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어 10만원 이내,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3516
under-cbs-0002,0,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,31463
under-cbs-0002,1,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3688
