caseId,testType,pairId,arm,sampleIndex,latencyMs,rankedProductIds,displayedRationales,groundingDecisions,validatorDowngradeCount,outOfCandidateIdCount,duplicateIdCount,validRankCoverage,candidateCount,rawResponse
missing_rating,MFT,,current,0,2592,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요"", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 제품을 찾는다면 102번이 가장 적합해요. 평가와 리뷰 정보가 없는 101번은 후순위로 추천합니다.""}"
missing_rating,MFT,,current,1,1243,[102],"[""평가가 매우 높고 리뷰가 매우 많아 믿을 만해요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":102,""rationale"":""평가가 매우 높고 리뷰가 매우 많아 믿을 만해요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는다면 검증된 이어폰이 가장 적합해요.""}"
missing_rating,MFT,,current,2,1585,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 믿을 만해요"", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 믿을 만해요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는다면 검증된 이어폰을 우선 추천해요. 평가와 리뷰가 풍부해 선택에 도움이 됩니다.""}"
missing_rating,MFT,,current,3,2754,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아요."", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요.""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아요.""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요.""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는다면 102번이 가장 적합해요. 101번은 평가와 리뷰 정보가 없어 후순위로 추천해요.""}"
missing_rating,MFT,,current,4,2276,[102],"[""평점이 매우 높고 리뷰가 매우 많아요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는 조건에 가장 잘 맞는 상품입니다.""}"
missing_rating,MFT,,current,5,1502,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 믿음직해요"", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 믿음직해요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는다면 검증된 이어폰을 우선 추천해요. 평가와 리뷰가 풍부해 선택에 도움이 됩니다.""}"
missing_rating,MFT,,current,6,1858,"[102, 101]","[""평가가 매우 높고 리뷰가 매우 많아요"", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평가가 매우 높고 리뷰가 매우 많아요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는다면 검증된 이어폰이 가장 적합해요.""}"
missing_rating,MFT,,current,7,1956,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아요."", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요.""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아요.""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요.""}],""overallComment"":""평이 좋은 무선 이어폰을 원한다면 102번이 가장 적합해요.""}"
missing_review,MFT,,current,0,2617,[112],"[""후기가 매우 많아 참고하기 좋아요.""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 참고하기 좋아요.""}],""overallComment"":""후기가 매우 많은 텀블러를 우선 추천했어요.""}"
missing_review,MFT,,current,1,2486,"[112, 111]","[""리뷰가 매우 많아 후기가 풍부해요"", ""리뷰 정보가 없어 비교가 어려워요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":112,""rationale"":""리뷰가 매우 많아 후기가 풍부해요""},{""productId"":111,""rationale"":""리뷰 정보가 없어 비교가 어려워요""}],""overallComment"":""후기가 많은 상품을 우선해 112번을 추천해요. 111번은 리뷰 정보가 없어 후기를 중시할 때는 후순위예요.""}"
